source,brand,model,ddr_generation,capacity_gb,frequency_mhz,cas_latency,timings,voltage,price_usd,in_stock,num_reviews,avg_rating,date_scraped
newegg,Patriot,Viper Elite 5,DDR5,16,6000.0,30.0,,1.35,169.99,True,38.0,,2025-12-28
newegg,Patriot,Viper Elite 5,DDR5,32,6000.0,30.0,,1.35,329.99,True,38.0,,2025-12-28
newegg,Patriot,Viper Steel,DDR4,32,3600.0,4.0,,1.35,179.99,True,102.0,1.0,2025-12-27
newegg,Patriot,Viper Steel,DDR4,32,3600.0,4.0,,1.35,179.99,True,102.0,1.0,2025-12-28
newegg,Patriot,Viper Venom,DDR5,32,6000.0,5.0,,1.35,359.99,True,161.0,1.0,2025-12-27
newegg,Patriot,Viper Venom,DDR5,32,6000.0,5.0,,1.25,334.99,True,161.0,1.0,2025-12-27
newegg,Patriot,Viper Venom,DDR5,32,6000.0,5.0,,1.35,359.99,True,161.0,1.0,2025-12-28
newegg,Patriot,Viper Venom,DDR5,32,6000.0,5.0,,1.25,334.99,True,161.0,1.0,2025-12-28
newegg,Silicon,Power,DDR4,16,3200.0,4.0,,1.35,116.79,True,154.0,1.0,2025-12-27
newegg,Silicon,Power,DDR4,32,3200.0,4.0,,1.35,199.79,True,154.0,1.0,2025-12-27
bhphoto,Silicon,Power,DDR5,32,6000.0,,,,479.99,True,22.0,,2025-12-27
bhphoto,Silicon,Power,DDR5,32,6000.0,,,,509.99,True,22.0,,2025-12-27
bhphoto,Silicon,Power,DDR5,64,6000.0,,,,770.0,True,22.0,,2025-12-27
bhphoto,Silicon,Power,DDR5,32,6000.0,,,,489.99,True,22.0,,2025-12-27
bhphoto,Silicon,Power,DDR5,64,6000.0,,,,922.0,True,22.0,,2025-12-27
bhphoto,Silicon,Power,DDR5,32,6000.0,,,,474.99,True,22.0,,2025-12-27
bhphoto,Silicon,Power,DDR5,64,6000.0,,,,799.99,True,22.0,,2025-12-27
bhphoto,Silicon,Power,DDR5,64,6000.0,,,,888.99,False,22.0,,2025-12-27
bhphoto,Silicon,Power,DDR5,64,5600.0,,,,,True,1.0,,2025-12-27
newegg,Silicon,Power,DDR4,16,3200.0,4.0,,1.35,116.79,True,154.0,1.0,2025-12-28
newegg,Silicon,Power,DDR4,32,3200.0,4.0,,1.35,199.79,True,154.0,1.0,2025-12-28
bhphoto,Silicon,Power,DDR5,32,6000.0,,,,479.99,True,22.0,,2025-12-28
bhphoto,Silicon,Power,DDR5,32,6000.0,,,,509.99,True,22.0,,2025-12-28
bhphoto,Silicon,Power,DDR5,64,6000.0,,,,770.0,True,22.0,,2025-12-28
bhphoto,Silicon,Power,DDR5,32,6000.0,,,,489.99,True,22.0,,2025-12-28
bhphoto,Silicon,Power,DDR5,32,6000.0,,,,474.99,True,22.0,,2025-12-28
bhphoto,Silicon,Power,DDR5,64,6000.0,,,,922.0,True,22.0,,2025-12-28
bhphoto,Silicon,Power,DDR5,64,6000.0,,,,799.99,True,22.0,,2025-12-28
bhphoto,Silicon,Power,DDR5,64,6000.0,,,,888.99,False,22.0,,2025-12-28
bhphoto,Silicon,Power,DDR5,64,5600.0,,,,,True,1.0,,2025-12-28
newegg,Team,Group T-CREATE EXPERT,DDR5,32,6000.0,5.0,,1.35,,False,202.0,1.0,2025-12-27
newegg,Team,Group T-CREATE EXPERT,DDR5,32,6000.0,5.0,,1.35,,False,203.0,1.0,2025-12-28
newegg,Team,T-Create Classic 10 LAYERS,DDR4,32,3200.0,10.0,,1.2,229.99,True,44.0,1.0,2025-12-28
newegg,Team,T-FORCE VULCAN Z,DDR4,32,3200.0,4.0,,1.35,239.99,True,246.0,1.0,2025-12-27
